(('100220388', 'jewish anecdotes from prague', 'eng'), 1)
(('100734216', 'oszolj', 'hun'), 2)
(('100734216', 'rozchod', 'slo'), 2)
(('100734216', 'otboi', 'rus'), 1)
(('100734216', 'tod lied und liebe', 'ger'), 1)
(('10097019', 'hmly na usvite', 'slo'), 1)
(('10097019', 'zivy bic', 'slo'), 1)
(('10097019', 'cele sapte biserici', 'rum'), 1)
(('10097019', 'seven churches the', 'eng'), 1)
(('100987352', 'rendezo es szinhaz', 'hun'), 4)
(('100987352', 'polydynamika', 'pol'), 1)
(('100987352', 'die sieger', 'ger'), 1)
(('100987352', 'kehraus auf der buhne', 'ger'), 1)
(('100987352', 'das gut stepantschikowo', 'ger'), 1)
(('100987352', 'ff burian a note on his life and works ger', 'eng'), 1)
(('100987352', 'o nove divadlo 19301940 druhe vydani dila pojdte lide na divadla s zeleznyma kladivama etc with illustrations including musical illustrations and a portrait', 'eng'), 1)
(('100987352', '', 'und'), 1)
(('101599917', 'od rozpravky k rozpravke', 'slo'), 1)
(('101599917', 'skriatkovia z kamennej horky', 'slo'), 1)
(('102032177', 'cesta slepych vtakov', 'und'), 2)
(('102032177', 'jiri sever with photographs with summaries in russian french and german', 'eng'), 1)
(('102032177', 'valky vojaci fotografie with illustrations', 'eng'), 1)
(('102032177', 'mission en coree du nord', 'fre'), 1)
(('102032177', 'napfenyto slunecni jezero', 'hun'), 1)
(('102032177', 'banuiala unei umbre', 'rum'), 1)
(('102411839', 'poklad kapitana williama kidda', 'slo'), 1)
(('102443548', 'jean de carro le genevois de carlsbad', 'fre'), 1)
(('102453304', 'das nachschlagebuch fur den briefmarkensammler', 'ger'), 1)
(('102460570', 'plamen a vietor', 'slo'), 2)
(('102460570', 'rotpelz der wilderer', 'ger'), 1)
(('102460570', 'ziveti hocemo', 'slv'), 1)
(('102460570', 'rytieri a zbojnici', 'slo'), 1)
(('102460570', 'rytiri a lapkove pribehy z davnych dob', 'eng'), 1)
(('102460570', 'basnikova prvni laska', 'ger'), 1)
(('102460570', 'spisy', 'eng'), 1)
(('102487473', 'beyond the giant mountains', 'eng'), 2)
(('102487473', 'zivalce in roparji', 'slv'), 1)
(('102487473', 'vrag in katra', 'slv'), 1)
(('102487473', 'bohatyrske zvesti  s ilustracemi karla simunka', 'eng'), 1)
(('102487473', 'folk tales from bohemia', 'eng'), 1)
(('10256796', 'luziske zetkanja', 'wen'), 3)
(('10256796', 'das zauberfederchen', 'ger'), 2)
(('10256796', 'vtacie pierko', 'slo'), 1)
(('10256796', 'lasky na zacolanou', 'und'), 1)
(('10256796', 'teichheger mares schopft verdscht', 'ger'), 1)
(('10256796', 'teichheger mares schopft verdacht', 'ger'), 1)
(('10256796', 'luziske zetkanja', 'ger'), 1)
(('10257468', 'ein neuer tag ein neues leben', 'ger'), 2)
(('10258879', 'saa tahta atturab', 'ara'), 1)
(('102818394', 'pohadky', 'eng'), 1)
(('103104123', 'kiwi', 'cze'), 1)
(('103108215', 'san o istini', 'hrv'), 2)
(('103219995', 'the dedalus book of surrealism 2', 'eng'), 1)
(('104028379', 'velice tiche ave', 'eng'), 2)
(('104028379', 'lide z prizemi', 'eng'), 1)
(('104028379', 'pan plaminku', 'und'), 1)
(('104028379', 'osetrovna', 'eng'), 1)
(('104028379', 'hrach na stenu', 'eng'), 1)
(('104028379', 'obloha samej cvok illustrations bohumil stepan', 'eng'), 1)
(('104028379', 'zahadna vez v b ilustroval jan brychta', 'eng'), 1)
(('106330957', 'homeresque', 'eng'), 1)
(('10646743', 'der singende goldgraber', 'ger'), 2)
(('10646743', 'price sa klupe', 'hrv'), 1)
(('10646743', 'dohlednuti', 'eng'), 1)
(('10646743', 'obrana kridel', 'ger'), 1)
(('10646743', 'kudy chodi dny', 'eng'), 1)
(('10646743', 'basne', 'ger'), 1)
(('10646743', 'auf der suche nach gold und freiheit', 'ger'), 1)
(('10646743', 'malko dobrota', 'rus'), 1)
(('106968086', 'die altesten denkmaler der bohmischen sprache', 'ger'), 7)
