Name,Wikidata_ID,Geonames_ID,Country_Code,Latitude,Longitude
Vesoul,Q203309,2969562,FR,47.622222222222,6.1552777777778
Anin,Q9154799,776679,PL,52.218093,21.165601
Oak Park,Q331397,4904381,US,41.888333333333335,-87.78944444444444
Osse,Q7107421,3089797,PL,51.93333333,19.55
Bolshiye Gorki,Q3286190,559862,RU,55.5047,37.7664
Iwano-Frankiwsk,Q156726,707471,UA,48.922777777778,24.710555555556
Golgota,Q170516,8335062,IL,31.778611111111,35.229444444444
Nowy Bogumin,Q3487881,3069382,CZ,49.90361111,18.35777778
Trowbridge,Q265647,2635427,GB,51.32,-2.207
Kalisz,Q52842,3096880,PL,51.757,18.083
Świętochłowice,Q45197,3083988,PL,50.316666666667,18.916666666667
Gubernia kijowska,Q1437277,703446,UA,50.45,30.523611
Protivín,Q1017045,3067395,CZ,49.199569401436,14.21719630313
Løten,Q488951,3146896,NO,60.825277777778,11.390833333333
Pernay,Q1170939,6433080,FR,47.443611111111,0.49944444444444
Neuchâtel,Q69345,2659496,CH,46.990277777778,6.9305555555556
Łomża,Q215633,766027,PL,53.18333333333333,22.083333333333332
Kowalewko-Folwark,Q6434952,3094967,PL,53.088888888889,17.480833333333
Arad,Q173591,8305599,RO,46.166666666667,21.316666666667
Staszów,Q324892,758252,PL,50.560555555556,21.166666666667
Gijón,Q12273,6359929,ES,43.52931,-5.67732
Baszarri,Q181167,276359,LB,34.251201,36.012314
Otwock,Q745059,762788,PL,52.116666666667,21.266666666667
Ostrowiec Świętokrzyski,Q730929,762863,PL,50.933333333333,21.4
Taganrog,Q170513,484907,RU,47.233333333333,38.9
Rakszawa,Q7286797,760632,PL,50.15,22.25
Bar,Q737925,712861,UA,49.078055555556,27.683055555556
Wrocław,Q1799,7531292,PL,51.11,17.0325
Fort Myers,Q506451,4155995,US,26.616666666667,-81.833333333333
Bresles,Q690996,6438592,FR,49.410277777778,2.2508333333333
Rochester,Q49218,5134086,US,43.165555555556,-77.611388888889
Unkel,Q498589,6557876,DE,50.600833333333,7.215
Nowy Wiśnicz,Q1011553,7533263,PL,49.915,20.451
Helsinki,Q1757,658225,FI,60.17556,24.93417
Palo Alto,Q47265,5380748,US,37.429166666667,-122.13805555556
Paryż,Q90,2968815,FR,48.856944444444,2.3513888888889
Przerów,Q470380,3067580,CZ,49.455555555556,17.451111111111
Cianowice Duże,Q1998277,3101450,PL,50.20417,19.88028
Tybinga,Q3806,6559169,DE,48.52,9.0555555555556
Niżny Nowogród,Q891,520555,RU,56.326944444444,44.0075
Rožmitál pod Třemšínem,Q2092257,3066659,CZ,49.602046222311,13.864345146533
Kostelec na Hané,Q1785187,3073147,CZ,49.513994854353,17.058271522734
Krasnojarsk,Q919,1502026,RU,56.00888888888889,92.87194444444444
Wolica Kierekieszyna,Q4123176,689239,UA,49.818333333333,27.110833333333
Humpolec,Q1000060,3074723,CZ,49.541577778709,15.359357331212
Savannah,Q83813,4221552,US,32.050833333333,-81.103888888889
Obrocz,Q7075355,763459,PL,50.6,23.03333333
Berdyczów,Q158799,712441,UA,49.891944444444,28.6
Worcestershire,Q23135,2633560,GB,52.2,-2.1666666666667
Wielopole Skrzyńskie,Q670095,755855,PL,49.95,21.6167
Badenweiler,Q25430,6555731,DE,47.801666666667,7.6719444444444
Hradec Králové,Q180139,3074967,CZ,50.209166666667,15.831944444444
Dayton,Q34739,4509884,US,39.766666666667,-84.2
Winchester,Q492355,4794120,US,39.1783,-78.1667
Reichenbach im Vogtland,Q46849,6559268,DE,50.616666666667,12.3
Łask,Q324897,3093902,PL,51.5924175,19.1331592
Choceň,Q1019936,3077725,CZ,50.00163914968,16.223087674169
Hranice,Q638306,3074893,CZ,49.547963974257,17.734723291716
Mastník,Q166045,3070933,CZ,49.180237677141,15.827846867472
Vnorovy,Q605873,3062658,CZ,48.930975077134,17.350499454804
New Haven,Q49145,4839366,US,41.308333333333,-72.925
Tomaszów Mazowiecki,Q157994,756867,PL,51.531388888889,20.008888888889
Slednevo,Q558263,813870,RU,55.114722222222,33.072777777778
Smoleńsk,Q2337,491687,RU,54.782777777778,32.045277777778
Kałęczew,Q732359,7531130,PL,51.9277,19.7847
Krasiłów,Q1020096,704492,UA,49.65,26.966666666667
Monachium,Q1726,6559171,DE,48.1375,11.575
Morawska Ostrawa,Q3524703,3068799,CZ,49.8418,18.2916
Stará Říše,Q2241230,3065390,CZ,49.179601800552,15.594783384778
Antony,Q205592,6452604,FR,48.753333333333,2.2966666666667
Glion,Q688497,2660581,CH,46.432777777778,6.9258333333333
Neumarkt in der Oberpfalz,Q14887,6558950,DE,49.283333333333,11.466666666667
Gouldsboro,Q5562056,5191523,US,41.2444,-75.4558
Drohobycz (Getto),Q5308221,709611,UA,49.35,23.5
Tel Awiw-Jafa,Q33935,293397,IL,32.08,34.78
Dniepr,Q48256,709930,UA,48.45,34.983333333333
Bayerisch Gmain,Q263586,6556111,DE,47.719444444444,12.896666666667
Żurawica,Q1989523,753056,PL,49.81667,22.78333
Ekely,Q1978692,9609462,NO,59.929192,10.670289
Kalinowka (rejon chomutowski),Q957273,554133,RU,51.9,34.5
Elsene,Q208713,2795011,BE,50.83305555555555,4.366944444444444
Eastbourne,Q208262,2650497,GB,50.766389,0.286111
Hanower,Q1715,6559065,DE,52.374444444444,9.7386111111111
Belgrad,Q3711,792680,RS,44.816666666667,20.466666666667
Hiszpania,Q29,2510769,ES,40.2,-3.5
Frydek-Mistek,Q48194,3076127,CZ,49.688055555556,18.353611111111
Hodonín,Q321778,3075654,CZ,48.848950584361,17.132439069118
Włocławek,Q106681,3081741,PL,52.65,19.05
Pajuostis (gmina Velžys),Q16468288,596329,LT,55.739,24.431
Hořany,Q1632190,3075529,CZ,50.097672087571,14.945861613126
Drozdowo,Q2181704,772950,PL,53.152222,22.173056
Zagórz,Q1946049,754195,PL,49.516666666667,22.266666666667
Zamek Lány,Q3508708,3072325,CZ,50.12395556,13.956325
Świątniki,Q8082300,3084110,PL,52.5167,18.95
Alès,Q193183,6455357,FR,44.127222222222,4.0808333333333
Lysá nad Labem,Q1018859,3071304,CZ,50.201496776686,14.832888718706
Žatec,Q393426,3061822,CZ,50.327264913574,13.545859487384
Addenbrooke's Hospital,Q130282,6289246,GB,52.176,0.14
Hrádeček,Q1632618,11925619,CZ,50.58472222,15.8275
Katowice,Q588,3096472,PL,50.25,19.0
Kopenhaga,Q1748,2618425,DK,55.676111111111,12.568888888889
Kayseri,Q48338,308464,TR,38.7225,35.4875
Kazimierz Dolny,Q774098,769345,PL,51.322222222222,21.9475
